participant_label,lottery_id,ce_observed
629f6b8c65fcae219e245284,lottery_3,-4.5
629f6b8c65fcae219e245284,lottery_2,-9.0
629f6b8c65fcae219e245284,lottery_7,430.0
629f6b8c65fcae219e245284,lottery_8,-579.0
629f6b8c65fcae219e245284,lottery_11,-12.0
629f6b8c65fcae219e245284,lottery_9,-481.0
629f6b8c65fcae219e245284,lottery_4,-286.0
629f6b8c65fcae219e245284,lottery_6,265.0
629f6b8c65fcae219e245284,lottery_12,-20.0
629f6b8c65fcae219e245284,lottery_5,-126.0
629f6b8c65fcae219e245284,lottery_1,-20.0
629f6b8c65fcae219e245284,lottery_14,-28.0
629f6b8c65fcae219e245284,lottery_13,-37.5
629f6b8c65fcae219e245284,lottery_10,29.0
631610af8e747093cd90e00d,lottery_2,13.5
631610af8e747093cd90e00d,lottery_14,7.0
631610af8e747093cd90e00d,lottery_12,2.5
631610af8e747093cd90e00d,lottery_5,10.0
631610af8e747093cd90e00d,lottery_6,14.0
631610af8e747093cd90e00d,lottery_3,1.0
631610af8e747093cd90e00d,lottery_13,-1.0
631610af8e747093cd90e00d,lottery_9,27.0
631610af8e747093cd90e00d,lottery_10,-12.5
631610af8e747093cd90e00d,lottery_11,-8.0
631610af8e747093cd90e00d,lottery_1,3.5
631610af8e747093cd90e00d,lottery_8,-144.0
631610af8e747093cd90e00d,lottery_7,221.0
631610af8e747093cd90e00d,lottery_4,-7.0
61166b2cec63d8ea49e36aac,lottery_3,-4.5
61166b2cec63d8ea49e36aac,lottery_14,-2.0
61166b2cec63d8ea49e36aac,lottery_2,-3.0
61166b2cec63d8ea49e36aac,lottery_11,-4.0
61166b2cec63d8ea49e36aac,lottery_9,3.0
61166b2cec63d8ea49e36aac,lottery_7,-69.0
61166b2cec63d8ea49e36aac,lottery_4,-7.0
61166b2cec63d8ea49e36aac,lottery_1,-1.0
61166b2cec63d8ea49e36aac,lottery_5,-19.0
61166b2cec63d8ea49e36aac,lottery_6,-60.5
61166b2cec63d8ea49e36aac,lottery_10,-3.0
61166b2cec63d8ea49e36aac,lottery_8,-17.0
61166b2cec63d8ea49e36aac,lottery_12,-2.0
61166b2cec63d8ea49e36aac,lottery_13,-5.5
5d2db62ac45885001abf9ce3,lottery_1,-39.0
5d2db62ac45885001abf9ce3,lottery_2,-31.0
5d2db62ac45885001abf9ce3,lottery_5,-340.0
5d2db62ac45885001abf9ce3,lottery_12,-24.5
5d2db62ac45885001abf9ce3,lottery_3,-19.5
5d2db62ac45885001abf9ce3,lottery_13,-28.5
5d2db62ac45885001abf9ce3,lottery_10,-26.0
5d2db62ac45885001abf9ce3,lottery_4,-463.0
5d2db62ac45885001abf9ce3,lottery_6,-348.0
5d2db62ac45885001abf9ce3,lottery_9,-215.0
5d2db62ac45885001abf9ce3,lottery_7,-793.0
5d2db62ac45885001abf9ce3,lottery_8,-1051.5
5d2db62ac45885001abf9ce3,lottery_11,-24.0
5d2db62ac45885001abf9ce3,lottery_14,-24.0
