session_code,participant_code,participant_label,participant_id_in_session,round_number,lottery_id,lottery_stake,lottery_name,selected_lottery_name,selected_round,selected_option,selected_choice,selected_amount,cutoff_index,cutoff_amount,fine_cutoff_index,fine_cutoff_amount,fine_selected_choice,fine_selected_amount,num_failed_attempts,failed_too_many_1,failed_too_many_2,failed_too_many_3,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,participant_time_started_utc,session2_start,session2_start_readable,session3_start,session3_start_readable,realized_period1_label,realized_period1_probability,realized_period1_abs_prob,realized_period2_label,realized_period2_probability,realized_period2_abs_prob,realized_period3_label,realized_period3_probability,realized_period3_abs_prob,final_outcome_label,final_payoff,chf_1,chf_2,chf_3,chf_4,chf_5,chf_6,chf_7,chf_8,chf_9,chf_10,chf_11,chf_12,chf_13,chf_14,chf_15,chf_16,chf_17,chf_18,chf_19,chf_20
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,1,lottery_1,lo,Apple,Apple,1,Safe option,10,-3,9,-8,,,,,0,0,0,0,Yes,No,Yes,Yes,No,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,2,lottery_7,hi,Dragonfruit,Apple,1,Safe option,11,36,10,-61,3,-12,4,4,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,3,lottery_13,lo,Fig,Apple,1,Safe option,7,-13,6,-17,,,,,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,4,lottery_6,hi,Coconut,Apple,1,Safe option,14,0,13,-56,4,-19,5,-9,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,5,lottery_10,lo,Pomegranate,Apple,1,Safe option,7,-15,6,-19,,,,,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,6,lottery_5,hi,Melon,Apple,1,Safe option,13,-14,12,-72,4,-33,5,-24,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,7,lottery_11,lo,Avocado,Apple,1,Safe option,8,-6,7,-10,,,,,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,8,lottery_8,hi,Plum,Apple,1,Safe option,13,-8,12,-117,4,-44,5,-26,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,9,lottery_3,lo,Orange,Apple,1,Safe option,9,-7,8,-12,,,,,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
yedk7nh8,6i4aahwl,5e4feb8037713502e9ed364b,1,10,lottery_9,hi,Durian,Apple,1,Safe option,9,21,8,-51,2,-27,3,-15,0,0,0,0,,,,,,,,,2026-02-14 09:52:09.001436,1771308000.0,"Tuesday, 17 February at 06:00",1771567200.0,"Friday, 20 February at 06:00",+£26,0.5,0.5,-£29,1,0.5,-£43,0.5,0.25,-£43,-3,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Risky option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option,Safe option
